Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.10237E-4,45.295534847,0.693719021,0.038484079,0.405857741,0
8.15638E-4,45.53931119,0.696125257,0.038191053,0.405857741,0
8.23406E-4,45.78585706,0.699552946,0.037898027,0.405857741,0
8.30283E-4,46.034352093,0.702555406,0.037605001,0.410041841,0
8.33598E-4,46.284170182,0.703991743,0.037311975,0.418410042,0
8.40432E-4,46.536044698,0.706931452,0.037018949,0.418410042,0
8.47005E-4,46.789705136,0.709731393,0.036725923,0.422594142,0
8.50984E-4,47.044829634,0.711413171,0.036432897,0.426778243,0
8.59601E-4,47.302608585,0.715021744,0.036139871,0.430962343,0
8.64174E-4,47.561376452,0.716918825,0.035846845,0.435146444,0
8.6552E-4,47.820889326,0.717474493,0.035553819,0.435146444,0
8.6725E-4,48.080911413,0.718187623,0.035260793,0.435146444,0
8.7235E-4,48.255254129,0.720278497,0.035065442,0.435146444,0
8.73052E-4,48.517074422,0.720565041,0.034772416,0.439330544,0
8.75247E-4,48.779568875,0.72145967,0.034479391,0.439330544,0
8.79987E-4,49.043020844,0.723380913,0.034186365,0.439330544,0
8.83837E-4,49.307818273,0.724932008,0.033893339,0.439330544,0
8.88187E-4,49.573574859,0.726673735,0.033600313,0.439330544,0
8.92106E-4,49.75164992,0.728233614,0.033404962,0.439330544,0
9.06218E-4,50.023217753,0.733777019,0.033111936,0.439330544,0
9.12534E-4,50.296172688,0.736221516,0.03281891,0.439330544,0
9.15586E-4,50.570413229,0.737394245,0.032525884,0.439330544,0
9.20564E-4,50.754320093,0.739296432,0.032330533,0.447698745,0
9.21738E-4,51.030741571,0.739743155,0.032037507,0.447698745,0
9.26189E-4,51.308206388,0.741429279,0.031744481,0.451882845,0
9.28935E-4,51.58679819,0.742464387,0.031451455,0.456066946,0
9.37111E-4,51.773500059,0.745520841,0.031256105,0.460251046,0
9.40477E-4,52.055307855,0.746768906,0.030963079,0.460251046,0
9.45443E-4,52.338249628,0.748598554,0.030670053,0.464435146,0
9.48313E-4,52.527768908,0.749650085,0.030474702,0.468619247,0
9.56128E-4,52.813371126,0.752491111,0.030181676,0.468619247,0
9.62182E-4,53.005349357,0.754669627,0.029986325,0.468619247,0
9.65515E-4,53.294571771,0.755860903,0.029693299,0.472803347,0
9.67126E-4,53.584554686,0.756434777,0.029400273,0.476987448,0
9.71876E-4,53.778790173,0.75811833,0.029204923,0.476987448,0
9.77154E-4,54.071273417,0.759975635,0.028911897,0.476987448,0
9.82754E-4,54.267340908,0.761930609,0.028716546,0.476987448,0
9.8443E-4,54.562547459,0.762512359,0.02842352,0.481171548,0
9.84759E-4,54.759474409,0.762626602,0.02822817,0.481171548,0
9.86691E-4,55.05535382,0.763295431,0.027935144,0.485355649,0
9.90044E-4,55.253088487,0.764451522,0.027739793,0.489539749,0
9.96236E-4,55.551243553,0.766572125,0.027446767,0.493723849,0
1.00282E-3,55.751396985,0.768806749,0.027251416,0.493723849,0
1.0113E-3,56.053814209,0.771651994,0.02695839,0.49790795,0
1.0147E-3,56.256633055,0.772780739,0.02676304,0.49790795,0
1.02175E-3,56.562504549,0.775109748,0.026470014,0.50209205,0
1.03283E-3,56.76831922,0.778717685,0.026274663,0.506276151,0
1.03854E-3,57.079684348,0.78055794,0.025981637,0.518828452,0
1.04034E-3,57.287615838,0.781131385,0.025786286,0.523012552,0
