Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.96722E-4,6.502241538,0.080894552,0.011985617,0,0
1.07544E-3,6.815404797,0.086997647,0.011685977,0,0
1.10818E-3,7.034557389,0.089523247,0.011486217,0,0
1.12587E-3,7.258294,0.090885769,0.011286456,0,0
1.1526E-3,7.603300714,0.092939643,0.010986816,0,0
1.20506E-3,7.83969349,0.096958489,0.010787056,0,0
1.24864E-3,8.088478662,0.100282954,0.010587295,0,0
1.264E-3,8.341105652,0.101451564,0.010387535,0,0
1.27773E-3,8.59591501,0.102495115,0.010187775,0,0
1.31923E-3,8.857026644,0.105641432,0.009988014,0,0
1.36797E-3,9.125846606,0.109323517,0.009788254,0,0
1.37915E-3,9.263761788,0.110165818,0.009688374,0,0
1.4731E-3,9.554276324,0.117212617,0.009488614,0,0
1.49069E-3,9.851106453,0.118526325,0.009288853,0,0
1.50837E-3,10.001943924,0.119844352,0.009188973,0,0
1.52706E-3,10.306424745,0.121234775,0.008989213,0,0
1.58177E-3,10.622157864,0.125294677,0.008789453,0,0
1.59482E-3,10.78163971,0.12625998,0.008689573,0,0
1.63827E-3,11.105828797,0.129467175,0.008489812,0,0
1.64275E-3,11.270104266,0.129797502,0.008389932,0,0
1.7261E-3,11.607356838,0.135913902,0.008190172,0,0
1.76245E-3,11.783601382,0.138567851,0.008090292,0,0
1.88526E-3,12.156132046,0.147474925,0.007890531,0,0
2.00443E-3,12.356575313,0.156030405,0.007790651,0,0
2.05221E-3,12.561796762,0.15943641,0.007690771,0,0
2.17221E-3,12.779017607,0.167929395,0.007590891,0,0
2.20383E-3,13.217683032,0.170153314,0.007391131,0,0
2.20908E-3,13.43859101,0.170521814,0.00729125,0,0
2.23796E-3,13.662386751,0.172546557,0.00719137,0,0
2.26727E-3,13.889113681,0.174596692,0.00709149,0,0
2.36465E-3,14.125579041,0.181371554,0.00699161,0,0
2.49226E-3,14.374805061,0.19016483,0.00689173,0,0
2.55513E-3,14.630317594,0.194462028,0.00679185,0,0
2.62965E-3,14.893282877,0.199526888,0.00669197,0,0
2.69432E-3,15.162714646,0.203895676,0.006592089,0,0
2.9191E-3,15.454625046,0.218897674,0.006492209,0,0
2.96477E-3,15.751102465,0.221910926,0.006392329,0,0
2.96955E-3,16.048057026,0.222225066,0.006292449,0,0
2.97945E-3,16.346001831,0.222876616,0.006192569,0,0
3.08171E-3,16.654173241,0.229573568,0.006092689,0,0
3.16144E-3,16.970316819,0.234754132,0.005992809,0,0
3.24368E-3,17.294684895,0.240062164,0.005892928,0,0
3.25873E-3,17.620557703,0.241029316,0.005793048,0,0
3.40954E-3,17.961512047,0.25065509,0.005693168,0,0
3.43158E-3,18.304670374,0.252051518,0.005593288,0,0
3.52352E-3,18.657022867,0.257848864,0.005493408,0,0
