Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.05949E-5,5.502760622,0.12145681,0.370509278,0.014814815,0
5.16271E-5,5.753273351,0.123774648,0.365673115,0.014814815,0
5.29205E-5,6.004407113,0.126670523,0.360935649,0.014814815,0
5.403E-5,6.250792081,0.129146889,0.356395578,0.022222222,0
5.49833E-5,6.501436268,0.131268931,0.351855507,0.022222222,0
5.64256E-5,6.752109389,0.134469836,0.347414133,0.022222222,0
5.80264E-5,7.0036485,0.138008713,0.343071457,0.022222222,0
5.89795E-5,7.255392306,0.140108844,0.338827477,0.022222222,0
6.04557E-5,7.500186471,0.143351425,0.334780892,0.022222222,0
6.15705E-5,7.750268469,0.14579213,0.330734307,0.037037037,0
6.2772E-5,8.005244709,0.148414816,0.326687722,0.037037037,0
6.37849E-5,8.252092468,0.150619685,0.322838531,0.037037037,0
6.51422E-5,8.503417031,0.153565184,0.318989341,0.044444444,0
6.63059E-5,8.753450937,0.156082289,0.315238847,0.051851852,0
6.78104E-5,9.00243862,0.159325602,0.311587051,0.059259259,0
6.94285E-5,9.256303355,0.162799996,0.307935255,0.059259259,0
7.07516E-5,9.501691581,0.165630124,0.304480853,0.059259259,0
7.17841E-5,9.751194754,0.167832032,0.301026451,0.059259259,0
7.25526E-5,10.00381561,0.169467301,0.297572049,0.059259259,0
7.37579E-5,10.252593776,0.172025234,0.294216344,0.059259259,0
7.506E-5,10.505268147,0.174779938,0.29086064,0.059259259,0
7.59295E-5,10.754395883,0.176614356,0.287603632,0.059259259,0
7.72266E-5,11.007142845,0.179343254,0.284346625,0.059259259,0
7.86213E-5,11.256281376,0.182267281,0.281188314,0.059259259,0
7.9946E-5,11.501952711,0.185035061,0.278128701,0.059259259,0
8.08806E-5,11.751079354,0.186982151,0.275069088,0.059259259,0
8.21362E-5,12.003469405,0.189590613,0.272009475,0.059259259,0
8.32471E-5,12.251550826,0.191891359,0.269048559,0.059259259,0
8.41152E-5,12.502600631,0.193684811,0.266087643,0.074074074,0
8.52065E-5,12.756428088,0.195933885,0.263126727,0.074074074,0
8.63328E-5,13.005107439,0.198248224,0.260264508,0.074074074,0
8.72386E-5,13.256716118,0.200104875,0.25740229,0.074074074,0
8.85353E-5,13.502804698,0.202755018,0.254638768,0.074074074,0
8.98622E-5,13.752036756,0.205457879,0.251875247,0.074074074,0
9.09688E-5,14.005115547,0.207704949,0.249111725,0.074074074,0
9.19901E-5,14.252061279,0.20977325,0.246446901,0.074074074,0
9.34675E-5,14.502687675,0.212755528,0.243782077,0.074074074,0
9.45097E-5,14.756575904,0.21485265,0.241117252,0.074074074,0
9.56022E-5,15.003814145,0.217044949,0.238551125,0.081481481,0
9.70706E-5,15.253989335,0.219981832,0.235984998,0.081481481,0
9.82725E-5,15.507774275,0.22237764,0.233418871,0.081481481,0
9.9676E-5,15.75571207,0.225165793,0.230951441,0.088888889,0
1.01093E-4,16.006751664,0.227970375,0.228484011,0.096296296,0
1.02214E-4,16.250835794,0.230182305,0.226115278,0.096296296,0
1.03311E-4,16.50756687,0.232340012,0.223647848,0.096296296,0
1.04539E-4,16.757010206,0.234749724,0.221279116,0.096296296,0
1.0633E-4,17.010333172,0.238249413,0.218910383,0.103703704,0
1.07596E-4,17.25636548,0.240714612,0.216640347,0.118518519,0
1.08499E-4,17.504850065,0.242466221,0.214370312,0.118518519,0
1.09878E-4,17.755655704,0.245135799,0.212100276,0.118518519,0
1.11861E-4,18.010566974,0.248956207,0.209830241,0.118518519,0
1.13538E-4,18.258379989,0.252173736,0.207658902,0.118518519,0
1.14943E-4,18.510065014,0.254858037,0.205487564,0.125925926,0
1.16617E-4,18.753242513,0.25804327,0.203414923,0.133333333,0
1.18112E-4,19.01150436,0.260876544,0.201243585,0.133333333,0
1.19299E-4,19.260910965,0.263118477,0.199170944,0.133333333,0
1.20461E-4,19.500529779,0.265306875,0.197197,0.133333333,0
1.2195E-4,19.755050863,0.268102096,0.195124358,0.133333333,0
1.23544E-4,20.000300803,0.271080581,0.193150415,0.133333333,0
1.25514E-4,20.261810185,0.274747103,0.191077773,0.140740741,0
1.27445E-4,20.501823627,0.278321638,0.189202527,0.148148148,0
1.28567E-4,20.757931968,0.280392601,0.187228583,0.155555556,0
1.29581E-4,21.003016415,0.282257,0.185353336,0.155555556,0
1.30764E-4,21.250168478,0.284426641,0.183478089,0.155555556,0
1.32042E-4,21.512944717,0.286764465,0.181504145,0.155555556,0
