species,dd long,dd lat
Paruroctonus silvestrii,-117.4455033,33.60656667
Paruroctonus silvestrii,-116.8057369,34.21845971
Paruroctonus silvestrii,-116.9852448,33.26610565
Paruroctonus silvestrii,-118.3207951,34.27224454
Paruroctonus silvestrii,-116.8930586,34.08071677
Paruroctonus silvestrii,-120.6141847,35.04647919
Paruroctonus silvestrii,-120.4472155,34.71415307
Paruroctonus silvestrii,-116.7496913,33.73344972
Paruroctonus silvestrii,-117.1298444,34.21819722
Paruroctonus silvestrii,-119.6603876,34.45392371
Paruroctonus silvestrii,-121.1870283,36.47047
Paruroctonus silvestrii,-116.7107346,34.16029924
Paruroctonus silvestrii,-119.4926383,34.38489167
Paruroctonus silvestrii,-116.8689731,32.81209689
Paruroctonus silvestrii,-122.5416996,38.98851456
Paruroctonus silvestrii,-121.7715366,39.77091395
Paruroctonus silvestrii,-117.0870528,32.96113833
Paruroctonus silvestrii,-117.2036367,32.99978333
Paruroctonus silvestrii,-117.1567083,33.0410195
Paruroctonus silvestrii,-121.2739612,38.62780834
Paruroctonus silvestrii,-117.2637442,34.08051564
Paruroctonus silvestrii,-117.6545874,33.69192221
Paruroctonus silvestrii,-117.123955,33.34156667
Paruroctonus silvestrii,-117.1637333,32.916005
Paruroctonus silvestrii,-118.7771683,34.16559601
Paruroctonus silvestrii,-117.6972,33.923
Paruroctonus silvestrii,-117.8373011,33.9178809
Paruroctonus silvestrii,-116.902275,32.75613833
Paruroctonus silvestrii,-116.6316217,33.388255
Paruroctonus silvestrii,-119.9533615,34.56179428
Paruroctonus silvestrii,-117.825645,34.0831305
Paruroctonus silvestrii,-118.5797522,35.98109157
Paruroctonus silvestrii,-118.8049783,34.00430555
Paruroctonus silvestrii,-116.829405,33.664605
Paruroctonus silvestrii,-116.78457,33.1517555
Paruroctonus silvestrii,-122.1969612,38.82869244
Paruroctonus silvestrii,-117.2398217,33.40929167
Paruroctonus silvestrii,-117.9347,34.15229717
Paruroctonus silvestrii,-119.9215679,34.46822743
Paruroctonus silvestrii,-118.6025081,35.18918004
Paruroctonus silvestrii,-118.3619085,34.11434974
Paruroctonus silvestrii,-118.1657499,34.13068665
Paruroctonus silvestrii,-120.8599185,35.39993131
Paruroctonus silvestrii,-117.182205,32.78905
Paruroctonus silvestrii,-116.9027822,33.08601367
Paruroctonus silvestrii,-118.0176457,34.20664958
Paruroctonus silvestrii,-118.0130815,34.35906081
Paruroctonus silvestrii,-119.8673294,37.46870974
Paruroctonus silvestrii,-116.450669,32.769603
Paruroctonus silvestrii,-116.6012717,33.58097
Paruroctonus silvestrii,-118.4797133,35.966225
Paruroctonus silvestrii,-119.2687,34.60308333
Paruroctonus silvestrii,-116.982375,34.136425
Paruroctonus silvestrii,-119.1658517,34.58537167
